id,product_grocery,price_grocery,expiration_date,quantity
967,Squeeze Bottle,$0.41,4/13/2023,61
968,Pork - Kidney,$3.54,12/5/2022,4
969,Chicken - Livers,$4.67,11/11/2022,67
970,Octopus,$2.70,11/21/2022,92
971,Chambord Royal,$0.82,11/25/2022,44
972,"Pasta - Orzo, Dry",$7.50,7/31/2023,41
973,Bread - White Epi Baguette,$8.54,1/3/2023,24
974,Wine - Wyndham Estate Bin 777,$2.17,6/28/2023,50
975,Pineapple - Golden,$6.35,7/20/2023,50
976,Fondant - Icing,$8.60,4/27/2023,46
977,"Nut - Pine Nuts, Whole",$4.15,5/25/2023,11
978,Fondant - Icing,$6.79,12/22/2022,11
979,Raisin - Dark,$4.02,9/9/2022,57
980,Beer - Original Organic Lager,$5.43,2/8/2023,51
981,Table Cloth 54x72 White,$4.37,10/19/2022,39
982,"Flour - Bran, Red",$1.09,2/13/2023,22
983,Beef - Inside Round,$1.43,2/24/2023,14
984,Beef - Diced,$5.33,12/30/2022,70
985,"Nut - Almond, Blanched, Ground",$4.56,8/13/2023,82
986,Kellogs All Bran Bars,$1.54,8/3/2023,57
987,Cheese - Goat With Herbs,$2.21,3/29/2023,3
988,Lid Coffee Cup 8oz Blk,$4.34,4/17/2023,30
989,Pastry - Butterscotch Baked,$2.39,12/23/2022,14
990,Tea - Apple Green Tea,$9.67,10/15/2022,8
991,"Lemonade - Kiwi, 591 Ml",$5.42,2/13/2023,28
992,Anisette - Mcguiness,$4.67,8/8/2023,55
993,"Pepper - Paprika, Spanish",$9.70,12/11/2022,11
994,"Beef - Rib Roast, Capless",$6.80,8/12/2023,5
995,Chicken - White Meat With Tender,$4.28,4/17/2023,25
996,"Nut - Cashews, Whole, Raw",$3.67,3/15/2023,13
997,Sage - Ground,$1.68,5/28/2023,27
998,Container - Hngd Cll Blk 7x7x3,$0.67,9/13/2022,40
999,Muffin Mix - Corn Harvest,$0.58,1/1/2023,49
1000,Fondant - Icing,$4.14,5/17/2023,55
